,age,company,desc,jcid,jkid,job_no,loc,query_date,query_time,title
19,12 days ago,ExxonMobil,"Relational Database Management Systems & Database Modeling Fundamentals (SQL Server 2012+, Oracle, SQLITE3, MySQL, SQL, PL/SQL, T-SQL)....",1ddb91d85c72e885,435f173ad665f5ce,10,"Houston, TX 77046 (Montrose area)",2018-10-29,20:48:19,Technical Analyst
20,13 days ago,BH Media Group,"DBMS knowledge including SQL query, database structures, PL/SQL and familiarity. FUNCTION AND SCOPE:....",7601c2041c118c1d,4bc00a16420efed4,1,"Richmond, VA 23219 (City Center area)",2018-10-29,20:48:20,Applications Analyst
21,30+ days ago,BH Media Group,Working knowledge of Relational DBMS development using PL/SQL (Oracle) or T-SQL (Microsoft SQL Server). 2+ years of software development experience and working...,7601c2041c118c1d,1e20c7ad80209b17,2,"Richmond, VA",2018-10-29,20:48:20,Programmer / Analyst
22,Today,Apple,"Perl, python, ruby, go with experience in object oriented programming. Jun 21, 2018....",c1099851e9794854,d7ab9c170fd8e2ce,1,"Santa Clara Valley, CA",2018-10-29,20:48:21,Cloud DevOps Manager
23,1 day ago,Apple,"Experience with Python and scripting languages (Perl, Ruby, etc.). Jul 6, 2018....",c1099851e9794854,2d99166d3ea0a11e,2,"Santa Clara Valley, CA",2018-10-29,20:48:21,OS Integration Engineer
24,1 day ago,Apple,"Summary Posted: Oct 28, 2018 Role Number: 114279108 Imagine what you could do here. At Apple, new ideas have a way of becoming phenomenal products, services,...",c1099851e9794854,b22aeb5dea9ada9c,3,"Santa Clara Valley, CA",2018-10-29,20:48:21,Site Reliability Engineer
25,1 day ago,Apple,"Superior knowledge of programming in Python and/or JavaScript. Sep 11, 2018....",c1099851e9794854,839f2552b4300df4,4,"Santa Clara Valley, CA",2018-10-29,20:48:21,iOS Software QA Engineer - Ad Platforms
26,1 day ago,Apple,"Summary Posted: Oct 24, 2018 Weekly Hours: 40 Role Number: 114042031 We are looking for a creative and motivated QA Robotic Automation Engineer with excellent...",c1099851e9794854,6a227092457595ee,5,"Santa Clara Valley, CA",2018-10-29,20:48:21,Systems QA Robotics Automation Engineer
27,2 days ago,Apple,"Are you adept and have advanced Excel, SQL, along with exposure to statistical methodologies? You are experienced in MySQL, Teradata, SAS, R, Python, Alteryx or...",c1099851e9794854,9929c228e7eab779,6,"Santa Clara Valley, CA",2018-10-29,20:48:21,US Channel Demand Analyst
28,2 days ago,Apple,"Should have experience scripting in TCL or Perl or Python. Oct 27, 2018....",c1099851e9794854,231b7d97b8cf5608,7,"Santa Clara Valley, CA",2018-10-29,20:48:21,Synthesis - CAD Engineer
29,2 days ago,Apple,"Summary Posted: Oct 26, 2018 Role Number: 200004361 Apple’s Technology Development Group is looking for a Procedural Audio Engineer to develop next generation...",c1099851e9794854,8e6a4342a16fb4d7,8,"Santa Clara Valley, CA",2018-10-29,20:48:21,Procedural Audio Engineer
30,2 days ago,Apple,"Summary Posted: Oct 26, 2018 Weekly Hours: 40 Role Number: 200003003 Imagine what you could do here. At Apple, new ideas have a way of becoming extraordinary...",c1099851e9794854,bba4b671d9ec62a6,9,"Santa Clara Valley, CA",2018-10-29,20:48:21,NPI Capacity Program Manager - iPhone
31,2 days ago,Apple,"Summary Posted: Oct 26, 2018 Role Number: 200003980 You will play a key role in specifying, developing, characterizing, and validating motion sensing systems....",c1099851e9794854,43891c3c48d5d611,10,"Santa Clara Valley, CA",2018-10-29,20:48:21,Motion Sensing Hardware Engineer: Pressure Sensors
32,Today,UnitedHealth Group,"2+ years SQL database experience. Good understanding of ETL and Reporting Tool integration. At Optum, you can bring your passion for innovation to an Agile...",d3d3520998346837,2bcccbc71191d9dc,1,"Minnetonka, MN 55345",2018-10-29,20:48:22,Senior Java Engineer
33,1 day ago,UnitedHealth Group,"1+ year of experience writing SQL queries to retrieve data, analyze/store data for research, reference, future use and using SQL Server Management Studio....",d3d3520998346837,35a0af724a37f66e,2,"Tampa, FL 33646 (Downtown area)",2018-10-29,20:48:22,Business System Analyst
34,1 day ago,UnitedHealth Group,"Experience with relational databases DB2, Oracle, SQL Server or others; In this role as a MDM Lead Developer/Architect you will be responsible for working with...",d3d3520998346837,01d678d4c83fc701,3,"Eden Prairie, MN 55344",2018-10-29,20:48:22,SR. MDM Configurator/Architect
35,2 days ago,UnitedHealth Group,"Tough challenges? We know a thing or two about those. When you’re on a mission to help people live healthier lives, the stakes couldn’t be higher. As a...",d3d3520998346837,a8cbba37e91124a6,4,"Orlando, FL 32885 (Central Business District area)",2018-10-29,20:48:22,Business Analysis Consultant//Tableau Developer
36,2 days ago,UnitedHealth Group,"Demonstrate understanding and proficiency of relevant tools (Excel, SAS, SQL). Aspiring to help people live healthier lives isn't just a goal we're after?it's...",d3d3520998346837,4e06c13c6033710f,5,"Eden Prairie, MN 55344",2018-10-29,20:48:22,Financial Analyst
37,2 days ago,UnitedHealth Group,Experience Alteryx or SSIS or any other ETL tool. We'll put you in the driver's seat on vital projects that have strategic importance to our mission of helping...,d3d3520998346837,08e441598af81ef0,6,"Eden Prairie, MN 55344",2018-10-29,20:48:22,Senior Reporting Analyst
38,2 days ago,UnitedHealth Group,"ETL Tool like Data Stage 8.7 (or higher) or Talend. The health solutions marketplace is hungry for new ideas, innovative products and software that drives...",d3d3520998346837,da45586f134fd23a,7,"Phoenix, AZ 85003 (Central City area)",2018-10-29,20:48:22,Software Engineer
39,2 days ago,UnitedHealth Group,"Working knowledge of Access, SQL or SAS. Operate, maintain and redesign complex financial models in Microsoft Access, Excel and SQL....",d3d3520998346837,ebf1eece40ada500,8,"Minnetonka, MN 55345",2018-10-29,20:48:22,Financial Consultant
40,2 days ago,UnitedHealth Group,3+ years of knowledge and use of the ETL tools - SQL Server Integration Services (SSIS). 3+ years of SQL coding experience....,d3d3520998346837,d0a258dad6f7c257,9,"Minnetonka, MN 55345",2018-10-29,20:48:22,Software Developer
41,2 days ago,UnitedHealth Group,"Microsoft SQL Server, SSIS, SSMS, stored procedures; The Business Analyst Consultant will support the Formulary Operations team in developing, enhancing, and...",d3d3520998346837,eac6e3d61e6d039e,10,"Irvine, CA",2018-10-29,20:48:22,Business Analyst Consultant
42,Today,McKesson,"Knowledge of data tools, such as SQL, NoSQL, Visual Basic, SAP, IBM, Neteeza, Teradata, Hadoop, and Oracle. McKesson is in the business of better health and we...",a7c5036618407010,08142335e4ccf534,1,"Scottsdale, AZ 85262",2018-10-29,20:48:23,Busi Intelligence Analyst
43,Today,McKesson,"Develop full stack application business logic using GWT, Java, J2EE, SQL, html, CSS, xml, and other related technologies....",a7c5036618407010,a2fb131a5b19e6ff,2,"San Francisco, CA 94104 (Financial District area)",2018-10-29,20:48:23,Software Developer 3 (McKesson Specialty Health)
44,3 days ago,McKesson,4+ years of SQL Server 2014/2017. Experience with SQL Server Integrated Services (SSIS). Experience with performance tuning and analysis in Microsoft SQL Server...,a7c5036618407010,12b9626dd7e713f1,3,"Atlanta, GA 30329",2018-10-29,20:48:23,"Software Engineer, ASP.NET, C#, HTML, JSON, XML"
45,4 days ago,McKesson,Proficient with programming languages Python and R. McKesson is in the business of better health and we touch the lives of patients in virtually every aspect of...,a7c5036618407010,8c451f16206c824b,4,"Irving, TX",2018-10-29,20:48:23,Intelligent Automation Analyst
46,4 days ago,McKesson,"McKesson is in the business of better health and we touch the lives of patients in virtually every aspect of healthcare. We partner with payors, hospitals,...",a7c5036618407010,6571575e0a86b6ec,5,"New Albany, OH",2018-10-29,20:48:23,Senior Software Developer
47,5 days ago,McKesson,"SQL. R, Python, Tableau, Oracle, and Power BI. Utilize SQL, Excel, and data visualization tools to aid in performance quantitative and qualitative analysis,...",a7c5036618407010,63e1ce2690c3098d,6,"Richmond, VA",2018-10-29,20:48:23,Associate e-Commerce Pricing Analyst
48,5 days ago,McKesson,Familiarity with SQL Server and SQL Server Integration Services (SSIS). Proficiency with Python and/or R for both data analysis and automation....,a7c5036618407010,e629a65befcd2cf3,7,"Irving, TX",2018-10-29,20:48:23,Business Intelligence Technical Lead
49,6 days ago,McKesson,"PowerShell or Shell Scripting and SQL. A minimum of 5 years of SQL Server/Oracle required. RelayHealth Pharmacy Solutions (RHPS), a McKesson connectivity...",a7c5036618407010,9a7d41ca35e81d1a,8,"Atlanta, GA 30329",2018-10-29,20:48:23,"Software Engineer, .Net or C# or JAVA, Shell Scripting, SQL"
50,7 days ago,McKesson,Basic understanding of SQL. McKesson is in the business of better health and we touch the lives of patients in virtually every aspect of healthcare....,a7c5036618407010,0dedfac7ab278ef3,9,"Atlanta, GA 30329",2018-10-29,20:48:23,Product Innovation Manager
51,11 days ago,McKesson,"6+ months experience with SQL, data extraction methodologies, relational and dimensional databases methods. McKesson is in the business of better health and we...",a7c5036618407010,947b97f93608f079,10,"Richmond, VA",2018-10-29,20:48:23,Operations Data Analyst
52,Today,CVS Health,"Knowledge of AIX, SOLARIS, MICROSOFT, MAINFRAME, and AS400 technologies including db2, SQL, Oracle, MariaDB, (IIS), file systems, LDAP, AD, Network, MQ, VMWare,...",1419e52fd7c725ce,dd9e761c1f2ac8eb,1,"Cumberland, OH",2018-10-29,20:48:24,"Enterprise Disaster Recovery, System Integration Analyst"
53,2 days ago,CVS Health,Minimum of two years processing large data-sets (measured in hundreds of millions or billions of records) using data mining programs such as SQL....,1419e52fd7c725ce,e7ee439f40e90447,2,"Woonsocket, RI",2018-10-29,20:48:24,"Analytics, Supply Chain/Inventory Analytics Advisor"
54,2 days ago,CVS Health,SQL Server 2008 and above. The .NET Application Development Advisor is primarily responsible for designing and developing solutions to meet the customer’s...,1419e52fd7c725ce,b28d1fbbbb755d21,3,"Greensboro, NC 27410",2018-10-29,20:48:24,.NET Application Development - Advisor
55,3 days ago,CVS Health,"Knowledge of SAS and SQL or other statistical and database software, including STATA, SPSS, and R. As a Healthcare Analyst, you will be developing and/or...",1419e52fd7c725ce,10b65bc75cf99d3e,4,"Northbrook, IL",2018-10-29,20:48:24,Healthcare Analyst
56,3 days ago,CVS Health,"CVS Health offers a comprehensive internship program designed to engage students, impart valuable skills, and offer insight into a potential career path with...",1419e52fd7c725ce,5fa03fb4b616e5ac,5,"Northbrook, IL",2018-10-29,20:48:24,Undergrad Intern - Analytic Consulting Services
57,3 days ago,CVS Health,Experience with Teradata and Oracle SQL environments and Tableau. CVS Caremark and Minute Clinic have established a variety of programs and offerings to support...,1419e52fd7c725ce,3102f1d3ad949543,6,Illinois,2018-10-29,20:48:24,Manager of Finance
58,3 days ago,CVS Health,Utilize SQL queries to generate Ad-hoc reports. The Quality Assurance Advisor is a member of the Digital Quality Assurance team responsible for delivering...,1419e52fd7c725ce,d94ad88cebefcaaa,7,"Richardson, TX",2018-10-29,20:48:24,Quality Assurance - Advisor
59,3 days ago,CVS Health,"Hands-on experience and knowledge of Data Warehouse best practices, Oracle, SQL, PL/SQL, Unix/Linux and working knowledge of SDLC/agile methodology is required...",1419e52fd7c725ce,6615fab4264cdf2e,8,"Smithfield, RI",2018-10-29,20:48:24,"Data Warehouse / Oracle Developer, Advisor"
60,3 days ago,CVS Health,"Advanced technical skills with knowledge of SQL, SAS, TeraData Microsoft Excel and Access. Candidates must possess the ability to work well in a...",1419e52fd7c725ce,a34c6142ce882e46,9,"Scottsdale, AZ",2018-10-29,20:48:24,Medicare Operations Med D Manager
61,3 days ago,CVS Health,"Knowledge of SAS or other statistical and database software, including STATA, SPSS, R, and SQL highly preferred....",1419e52fd7c725ce,16d97e297baa4371,10,"Northbrook, IL",2018-10-29,20:48:24,Senior Healthcare Analyst
62,Just posted,Amazon.com,"Experience with modern programming languages (Java, JavaScript, C/C++, Objective C, Python, Ruby). Are you passionate about the intersection of cloud computing,...",fe2d21eef233e94a,5b01eb7cc587cb72,1,United States,2018-10-29,20:48:25,Alexa VUI Architect
63,Just posted,Amazon.com,SQL skills and experience in joining/cleansing datasets from multiple sources. Amazon Web Services (AWS) provides companies of all sizes with an infrastructure...,fe2d21eef233e94a,1a4561b2eb3aef3a,2,"Seattle, WA",2018-10-29,20:48:25,Business Insights Analyst
64,Just posted,Amazon.com,"Experience with SQL. Some knowledge of econometrics, as well as basic familiarity with Stata or R is necessary, and experience with SQL would be a plus....",fe2d21eef233e94a,bc3a675b62d52054,3,"Seattle, WA",2018-10-29,20:48:25,Intern - Economics
65,Just posted,Amazon.com,"Excellent knowledge and Expertise with SQL, Linux, OLAP, and Relational, NoSQL & Multi-dimensional Databases, Big Data....",fe2d21eef233e94a,191a785ee671602e,4,"Seattle, WA",2018-10-29,20:48:25,Alexa Shopping Business Intelligence Engineer
66,Just posted,Amazon.com,"Experience with user-level automation frameworks and scripting via Perl, Python, or JavaScript. The Amazon Exports and Expansion technology team is looking for...",fe2d21eef233e94a,a5ba1c1cc57d6a58,5,"Seattle, WA",2018-10-29,20:48:25,Quality Assurance Engineer | Amazon Exports and Expansion
67,Just posted,Amazon.com,"Experience in C, C++, python or Java programming. Experience in Java and Python programming in a GNU/Linux development environment....",fe2d21eef233e94a,7ba75c4029b1c796,6,"Seattle, WA",2018-10-29,20:48:25,Manufacturing Test Engineer
68,Just posted,Amazon.com,"Job Description Amazon seeks a Sr. Financial Analyst to play a key role on the Digital, App, and Game Services (DAGS) finance team. The DAGS organization...",fe2d21eef233e94a,2552fa730d0e516a,7,"Seattle, WA",2018-10-29,20:48:25,Senior Financial Analyst
69,Just posted,Amazon.com,"The position offers the chance to learn and master a wide variety of database engines, from commercial engines (Oracle and SQL Server) to open source engines...",fe2d21eef233e94a,9b7d9471b968fd39,8,"Herndon, VA",2018-10-29,20:48:25,Cloud Support Associate - Databases
70,Just posted,Amazon.com,Experience with SQL. We are looking for an Instock Manager to support the Packaged Deli category....,fe2d21eef233e94a,1a93738d61eb2ba4,9,"Seattle, WA",2018-10-29,20:48:25,Instock Manager - Packaged Deli
71,Just posted,Amazon.com,Proficiency in Python or MATLAB. Proficiency in C/C++ and Python or MATLAB. We’re working on the future....,fe2d21eef233e94a,3c2b78e7c3f8098b,10,"Seattle, WA",2018-10-29,20:48:25,Research Scientist - Prime Air
72,2 days ago,AT&T,"Developing hypotheses and methodology for the analysis, preforming the analysis using SQL or SAS, summarizing their findings and recommendations in a persuasive...",25b5166547bbf543,a5d1d583b9ecf52d,1,"Dallas, GA 30132",2018-10-29,20:48:26,Advanced Analytics
73,2 days ago,AT&T,"Python, Go, Perl Scripting experience a plus. Review and analysis of security requirements, works with senior team....",25b5166547bbf543,9ed58e13e621bcb4,2,"Middletown, NJ",2018-10-29,20:48:26,Principal-Technology Security
74,2 days ago,AT&T,"Experience working with SQL and noSQL data stores and Hibernate or other ORM technologies. Microsoft technologies, MicroSoft SQL, Visual BAsic, MS Access VBA,...",25b5166547bbf543,d2f09b68a742788e,3,"Piscataway, NJ",2018-10-29,20:48:26,Senior-Software Engineer (DevSecOps)
75,2 days ago,AT&T,"Oracle, PostgreSQL, MySQL, Microsoft SQL Server, and, HADOOP. Responsible for database design, implementation, and maintenance, and the operation and setup of...",25b5166547bbf543,daf7a406d5eafea3,4,"Oakton, VA",2018-10-29,20:48:26,Database Administrator (Westfields)
76,2 days ago,AT&T,"Desired:CND experience, Department of Defense experience, *NIX familiarity, Command Line Scripting skills (PERL, Python, PowerShell scripting) to automate...",25b5166547bbf543,f1b607b35cbbd632,5,"Oakton, VA",2018-10-29,20:48:26,IS Security Analyst (Westfields)
77,2 days ago,AT&T,SQL query development a plus. Intermediate or higher knowledge of Python. Ensure cleanliness and optimization of code written in complied languages such as Java...,25b5166547bbf543,ca95457051aedadd,6,"Oakton, VA",2018-10-29,20:48:26,Network Management System Designer (Westfields)
78,3 days ago,AT&T,"The operational database support responsibilities include those related to availability, performance, currency, integrity, security, and confidentiality of the...",25b5166547bbf543,875d10dd909c118f,7,"St. Louis, MO",2018-10-29,20:48:26,Senior-Database Administration
79,3 days ago,AT&T,"BASH, Perl, Python Scripting experience. AT&T is seeking hard-working and dependable candidates to support of the GSM-O contract at Defense Information Systems...",25b5166547bbf543,bb34757764cb5f6a,8,"Ogden, UT",2018-10-29,20:48:26,Network Controller/Operator Lead (Government)
80,5 days ago,AT&T,"Desired Experience, Education, and Certifications CND experience Department of Defense experience *NIX familiarity Command Line Scripting skills (PERL, Python,...",25b5166547bbf543,0bf0d32fc05a46de,9,"Collinsville, IL",2018-10-29,20:48:26,Information Systems Security Specialist Associate (Governmen...
81,5 days ago,AT&T,"Desired Experience, Education, and Certifications CND experience Department of Defense experience *NIX familiarity Command Line Scripting skills (PERL, Python,...",25b5166547bbf543,49a79a9b4ec1d950,10,"Collinsville, IL",2018-10-29,20:48:26,Senior Computer Security Systems Specialist-Lead (Government...
82,30+ days ago,Smithfield Foods,"The Enterprise Solutions Architect creates deliverables that help develop a direction for managing the organization's portfolio of ""to be"" and ""as is...",47a15cde3c2472ae,471641f88885668b,1,"Kansas City, MO",2018-10-29,20:48:27,Enterprise Solutions Architect
83,30+ days ago,Smithfield Foods,This role will be critical with any system implementations involving application deployments to ensure IT and its third party strategic service providers or...,47a15cde3c2472ae,bf9d34df1b509b38,2,"Kansas City, MO",2018-10-29,20:48:27,Applications Development Manager-Plant Systems
84,28 days ago,Henry Ford Health System,Basic to intermediate SQL knowledge or experience highly preferred. Assist with month-end performance reports....,fcee73a6346b7a5b,200bb98c7cad2bda,1,"Detroit, MI",2018-10-29,20:48:28,Student
85,30+ days ago,Henry Ford Health System,"Reporting to the Director, Revenue Integrity, the Manager, Revenue Reporting & Analytics, is responsible for improving revenue results by taking a global view...",fcee73a6346b7a5b,587ecd734e27870d,2,"Detroit, MI",2018-10-29,20:48:28,Manager
86,30+ days ago,Henry Ford Health System,"B) Windows and Unix scripting, SQL , PL/SQL. A) ETL tools like Microsoft SSIS/ Data stage / Informatica / AbInitio....",fcee73a6346b7a5b,a72b387d0497afd0,3,"Detroit, MI",2018-10-29,20:48:28,IT Manager
87,30+ days ago,Henry Ford Health System,"Under direction of a Manager or a Director, develops and implements a comprehensive program to collect data and effectively report information from these data...",fcee73a6346b7a5b,fdb598831b570b37,4,"Troy, MI",2018-10-29,20:48:28,Principal Performance Measurement Analyst
88,30+ days ago,Henry Ford Health System,"Must be proficient in SQL Server, Open Source, NoSQL databases including HBase, MongoDB. This individual’s work will mobilize the data from SQL query into...",fcee73a6346b7a5b,9d645dbf9162896a,5,"Detroit, MI",2018-10-29,20:48:28,Data Analytics Programmer – Provider Affairs
89,30+ days ago,Henry Ford Community College,"MS SQL Server 2005/2008/2012. Query and reporting tools including SQL, IBI WebFocus, Crystal Reports and Business Objects or similar reporting tools....",0be6857c016377e9,8e99d5dd93034b16,6,"Dearborn, MI",2018-10-29,20:48:28,Applications Systems Analyst
90,4 days ago,AmerisourceBergen,Demonstrates excellent knowledge of SQL and SQL queries. Are you looking to make a difference in a patient’s life?...,a6362e26eb1427c7,975f697e64c0f5fc,1,"Frisco, TX",2018-10-29,20:48:28,Technical Business Analyst - Web
91,9 days ago,AmerisourceBergen,"Familiarity with data visualization and statistical analysis tools (PowerBI, Tableau, Qlik, SQL, R, Python). Are you looking to make a difference in a patient’s...",a6362e26eb1427c7,284d11dd10a95673,2,"Chesterbrook, PA",2018-10-29,20:48:28,Applied Analytics & Commercial Process Analyst
92,11 days ago,AmerisourceBergen,2+ years of SQL querying experience to help with testing. Are you looking to make a difference in a patient’s life?...,a6362e26eb1427c7,48332f273f73a3f0,3,"Frisco, TX",2018-10-29,20:48:28,Test Engineer II
93,26 days ago,AmerisourceBergen,"Experience with SQL Server 2012 and newer. Troubleshoots and resolves applications (ex., SQL) performance issues....",a6362e26eb1427c7,dc09a110fbdfa779,4,"Lake Forest, IL",2018-10-29,20:48:28,SQL Database Administrator
94,30+ days ago,AmerisourceBergen,"8 or more years of experience in technologies relevant to data/information management, such as SQL, RDBMS, Data Lake/Hadoop, MDM, Metadata, Data Quality, etc....",a6362e26eb1427c7,8bea726cd3a69fc2,5,"Amarillo, TX",2018-10-29,20:48:28,Lead Data Engineer
95,30+ days ago,AmerisourceBergen,"5-10 Years of experience with data visualization/BI tools, such as Qlik or Tableau, SQL and semantic data access mechanisms....",a6362e26eb1427c7,83734b922b6bbdf6,6,"Amarillo, TX",2018-10-29,20:48:28,Data Visualization Specialist III
96,30+ days ago,AmerisourceBergen,"5-10 years of experience in technologies relevant to data/information management, such as SQL, MDM, Metadata, Data Quality, etc....",a6362e26eb1427c7,e2ddfed2545aa939,7,"Chesterbrook, PA",2018-10-29,20:48:28,"Data Engineer, MDM"
97,30+ days ago,AmerisourceBergen,SQL Server 2005 and SQL Server 2008 (SQL Server 2012 a plus). SQL Server Database Architecture and Design (OLTP/OLAP) and SQL Server Database Programming and...,a6362e26eb1427c7,61b95afd3ee5de17,8,"Frisco, TX",2018-10-29,20:48:28,SQL Developer
98,30+ days ago,AmerisourceBergen,"Define data architecture, infrastructure, and engineering standards, processes and policies to be applied to building scalable and highly available data...",a6362e26eb1427c7,ac2adab4db0852ad,9,"Fort Mill, SC",2018-10-29,20:48:28,"Director , Data Management & Operations"
99,30+ days ago,AmerisourceBergen,"Basic knowledge of databases and database query language, such as SQL, recommended. Uses various tools effectively to assist in project completion, including...",a6362e26eb1427c7,a2fe6e25b5f5d6fb,10,"Amarillo, TX",2018-10-29,20:48:28,Quality Assurance Analyst
100,Just posted,Cardinal Health,Data management / manipulation skills – SQL / Data mining / or Advanced Excel required. What Strategic Pricing contributes to Cardinal Health....,87b328666e50453b,78ca4ac7040cbe69,1,"Dublin, OH 43017",2018-10-29,20:48:31,Strategic Pricing
101,Today,Cardinal Health,"Familiarity with statistical computer languages (R, Python). Familiarity with data querying and merging tools such as SQL or Business Objects....",87b328666e50453b,cc390483010713c0,2,"Dublin, OH 43017",2018-10-29,20:48:31,"Senior Consultant, Advanced Analytics"
102,3 days ago,Cardinal Health,Strong SQL & Data Engineering Skills Ability to “Tell the Story” and drive towards solutions for complex business problems....,87b328666e50453b,dd083a21f97f8a7a,3,"Dublin, OH 43017",2018-10-29,20:48:31,Pricing Strategic Analytics
103,4 days ago,Cardinal Health,"SQL experience is desired and the ability to coding and script within SQL and VB. Working together, we can make a difference in healthcare for our customers and...",87b328666e50453b,40c0458e629fdfa3,4,"Twinsburg, OH 44087",2018-10-29,20:48:31,"Engineer, Software Engineering (EDI Developer)"
104,5 days ago,Cardinal Health,"Experience with SQL scripting for test executions would be a plus. Working together, we can make a difference in healthcare for our customers and communities....",87b328666e50453b,ae0730566e119706,5,"Dublin, OH 43017",2018-10-29,20:48:31,"Engineer, Software Engineering (Manhattan WMS) (P-Mod)"
